2019-08-17 @ 16:31:28 | Starting Script
2019-08-17 @ 16:31:30 | Data Collected, sleeping for 2 mins
2019-08-17 @ 16:33:31 | Data Collected, sleeping for 2 mins
2019-08-17 @ 16:33:57 | Starting Script
2019-08-17 @ 16:33:59 | Data Collected, sleeping for 2 mins
2019-08-17 @ 16:36:01 | Data Collected, sleeping for 2 mins
2019-08-17 @ 16:38:02 | Data Collected, sleeping for 2 mins
2019-08-17 @ 16:40:04 | Data Collected, sleeping for 2 mins
2019-08-17 @ 16:42:05 | Data Collected, sleeping for 2 mins
2019-08-17 @ 16:44:07 | Data Collected, sleeping for 2 mins
2019-08-17 @ 16:48:17 | Error!
2019-08-17 @ 16:48:17 | HTTPSConnectionPool(host='fantasy.premierleague.com', port=443): Max retries exceeded with url: /api/element-summary/143/ (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f56c85f1518>: Failed to establish a new connection: [Errno 110] Connection timed out',))
2019-08-17 @ 16:48:17 | Error Logged, sleeping for 2 mins
2019-08-17 @ 16:50:17 | Continuing
2019-08-17 @ 16:50:19 | Data Collected, sleeping for 2 mins
2019-08-17 @ 16:52:20 | Data Collected, sleeping for 2 mins
2019-08-17 @ 16:54:22 | Data Collected, sleeping for 2 mins
2019-08-17 @ 16:56:23 | Data Collected, sleeping for 2 mins
2019-08-17 @ 16:58:25 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:00:26 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:02:28 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:04:30 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:06:31 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:08:33 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:10:34 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:12:36 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:14:37 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:16:39 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:18:41 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:20:42 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:22:44 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:24:45 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:26:47 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:28:48 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:30:50 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:32:51 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:34:53 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:36:54 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:38:56 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:40:58 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:42:59 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:45:01 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:47:02 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:49:04 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:51:06 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:53:07 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:55:09 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:57:10 | Data Collected, sleeping for 2 mins
2019-08-17 @ 17:59:12 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:01:14 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:03:15 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:05:17 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:07:18 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:09:20 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:11:22 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:13:23 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:15:25 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:17:26 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:19:28 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:21:30 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:23:31 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:25:33 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:27:35 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:29:36 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:31:38 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:33:39 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:35:41 | Data Collected, sleeping for 2 mins
2019-08-17 @ 18:59:21 | Starting Script
2019-08-17 @ 18:59:23 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:30:01 | Starting Script
2019-08-18 @ 15:30:03 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:32:05 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:34:06 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:36:08 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:38:09 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:40:11 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:42:12 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:44:14 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:46:15 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:48:17 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:50:19 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:52:20 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:54:22 | Data Collected, sleeping for 2 mins
2019-08-18 @ 15:58:32 | Error!
2019-08-18 @ 15:58:32 | HTTPSConnectionPool(host='fantasy.premierleague.com', port=443): Max retries exceeded with url: /api/element-summary/320/ (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7ff3545a8128>: Failed to establish a new connection: [Errno 110] Connection timed out',))
2019-08-18 @ 15:58:32 | Error Logged, sleeping for 2 mins
2019-08-18 @ 16:00:32 | Continuing
2019-08-18 @ 16:00:34 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:02:35 | Data Collected, sleeping for 2 mins
2019-08-18 @ 16:04:37 | Data Collected, sleeping for 2 mins
